Player,Team,Pos,G2,MP2,G,GS,MP,FG,FGA,FGP,ThPt,ThPtA,ThPtP,TwoPt,TwoPtA,TwoPtP,FT,FTA,FTP,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Brittney Griner,PHO,C,34,992,34,34,992,178,325,.548,0,0,,178,325,.548,138,166,.831,47,222,35,13,107,70,124,494
Sandrine Gruda,LAS,F-C,7,37,7,0,37,3,9,.333,0,0,,3,9,.333,1,1,1.000,2,4,2,1,1,1,6,7
Jazmon Gwathmey,SAS,G,22,351,22,10,351,27,78,.346,9,27,.333,18,51,.353,10,13,.769,9,38,16,8,8,11,37,73
Ruth Hamblin,DAL,C,20,130,20,0,130,8,32,.250,0,0,,8,32,.250,5,7,.714,9,29,4,2,9,4,13,21
Dearica Hamby,SAS,F,25,633,25,25,633,81,192,.422,2,14,.143,79,178,.444,60,83,.723,36,127,25,13,12,41,58,224
Keisha Hampton,MIN,F,27,183,27,0,183,19,57,.333,12,36,.333,7,21,.333,20,23,.870,5,10,10,8,3,10,24,70
Alex Harden,PHO,G,28,210,28,1,210,18,40,.450,3,12,.250,15,28,.536,1,2,.500,10,22,13,12,4,9,20,40
Isabelle Harrison,PHO,F,26,194,26,1,194,32,61,.525,0,0,,32,61,.525,17,25,.680,17,47,1,11,2,18,36,81
Bria Hartley,WAS,G,24,406,24,5,406,50,133,.376,21,58,.362,29,75,.387,36,45,.800,9,47,54,10,0,35,44,157
Tianna Hawkins,WAS,F,24,252,24,0,252,42,85,.494,11,22,.500,31,63,.492,18,21,.857,24,59,10,5,4,23,52,113
Tiffany Hayes,ATL,G,33,1016,33,33,1016,153,347,.441,32,117,.274,121,230,.526,156,194,.804,33,112,78,40,8,59,94,494
Aneika Henry-Morello,CON,F-C,10,50,10,2,50,5,13,.385,0,0,,5,13,.385,2,5,.400,4,14,2,1,1,6,8,12
Tayler Hill,WAS,G,32,937,32,32,937,139,399,.348,60,171,.351,79,228,.346,155,187,.829,13,84,93,35,4,40,66,493
Rachel Hollivay,ATL,C,32,284,32,1,284,12,38,.316,0,0,,12,38,.316,15,32,.469,20,66,4,3,13,11,51,39
Bria Holmes,ATL,G,33,702,33,10,702,91,209,.435,17,62,.274,74,147,.503,48,62,.774,24,85,41,30,5,39,26,247
Jordan Hooper,DAL,F,32,291,32,1,291,42,112,.375,28,82,.341,14,30,.467,7,8,.875,8,37,5,6,2,16,31,119
Natasha Howard,MIN,F,34,495,34,1,495,93,162,.574,1,5,.200,92,157,.586,42,62,.677,41,121,28,23,27,37,99,229
Briann January,IND,G,29,816,29,27,816,87,217,.401,29,74,.392,58,143,.406,77,88,.875,18,52,136,36,3,51,79,280
Moriah Jefferson,SAS,G,34,1034,34,34,1034,185,434,.426,33,88,.375,152,346,.439,69,89,.775,15,73,142,55,4,59,71,472
Glory Johnson,DAL,F,18,502,18,6,502,72,163,.442,4,14,.286,68,149,.456,55,73,.753,48,161,23,17,11,26,39,203
Shenise Johnson,IND,G,29,651,29,10,651,98,239,.410,28,78,.359,70,161,.435,60,64,.938,27,102,60,35,10,48,52,284
Jonquel Jones,CON,C,34,479,34,6,479,85,160,.531,11,33,.333,74,127,.583,51,69,.739,61,126,22,22,38,25,72,232
Brianna Kiesel,DAL,G,14,103,14,0,103,4,23,.174,1,6,.167,3,17,.176,3,4,.750,1,6,18,5,0,10,15,12
Lynetta Kizer,IND,F,33,569,33,12,569,139,250,.556,0,1,.000,139,249,.558,40,50,.800,35,106,20,25,10,35,81,318
Betnijah Laney-Hamilton,CHI,G-F,8,42,8,1,42,2,12,.167,0,1,.000,2,11,.182,4,4,1.000,1,5,1,1,0,2,6,8
Crystal Langhorne,SEA,F-C,33,843,33,33,843,126,200,.630,1,1,1.000,125,199,.628,60,79,.759,43,182,47,23,10,52,61,313
Erlana Larkins,IND,F,33,880,33,33,880,106,166,.639,0,0,,106,166,.639,61,69,.884,76,244,68,30,15,54,80,273
Ivory Latta,WAS,G,22,458,22,2,458,55,166,.331,32,105,.305,23,61,.377,40,44,.909,9,37,42,8,1,31,34,182
Jantel Lavender,LAS,F,34,659,34,0,659,150,279,.538,0,1,.000,150,278,.540,28,41,.683,37,124,44,10,17,40,42,328
Camille Smith,CON,F,33,812,33,29,812,96,250,.384,29,90,.322,67,160,.419,36,57,.632,25,98,66,38,9,56,92,257
Jewell Loyd,SEA,G,34,1075,34,34,1075,195,452,.431,40,132,.303,155,320,.484,131,147,.891,33,117,115,42,10,76,58,561
Maggie Lucas,IND,G,4,55,4,0,55,11,21,.524,2,10,.200,9,11,.818,7,7,1.000,1,8,3,2,0,5,8,31
Sancho Lyttle,ATL,F,19,571,19,18,571,62,149,.416,2,9,.222,60,140,.429,19,25,.760,42,149,35,39,19,23,43,145
Ally Malott,WAS,F,23,179,23,0,179,15,49,.306,10,32,.313,5,17,.294,9,11,.818,6,26,10,6,3,12,13,49
Kayla McBride,SAS,G,17,523,17,17,523,102,278,.367,29,95,.305,73,183,.399,58,68,.853,13,68,33,18,2,34,22,291
Janel McCarville,MIN,F-C,33,417,33,0,417,48,105,.457,2,11,.182,46,94,.489,12,20,.600,22,84,53,21,11,23,52,110
Angel McCoughtry,ATL,F-G,33,989,33,32,989,223,514,.434,26,86,.302,197,428,.460,171,217,.788,37,187,92,52,23,96,79,643
Emma Meesseman,WAS,F,34,996,34,34,996,210,394,.533,30,67,.448,180,327,.550,68,85,.800,67,191,77,41,25,44,88,518
Leilani Mitchell,WAS,G,10,161,10,0,161,20,46,.435,11,31,.355,9,15,.600,8,10,.800,3,17,19,1,0,13,17,59
Tiffany Mitchell,IND,G,34,681,34,8,681,87,241,.361,25,85,.294,62,156,.397,92,101,.911,15,58,48,30,3,55,85,291
Alex Montgomery,SAS,G-F,25,357,25,7,357,35,98,.357,10,32,.313,25,66,.379,9,12,.750,15,53,39,10,4,20,37,89
Renee Montgomery,MIN,G,34,656,34,2,656,87,219,.397,27,84,.321,60,135,.444,53,64,.828,6,31,94,33,2,59,47,254
Maya Moore*,MIN,F,34,1009,34,34,1009,223,498,.448,65,161,.404,158,337,.469,145,167,.868,43,175,142,53,25,79,88,656
Brene Moseley,IND,G,8,77,8,0,77,6,23,.261,1,5,.200,5,18,.278,2,5,.400,1,3,9,4,0,16,6,15
Kaleena Mosqueda-Lewis,SEA,F,32,395,32,0,395,59,151,.391,35,99,.354,24,52,.462,14,18,.778,8,26,26,5,2,26,47,167
Astou Ndour-Fall,SAS,C-F,30,446,30,9,446,65,164,.396,21,61,.344,44,103,.427,29,35,.829,25,95,12,13,26,16,48,180
Chiney Ogwumike,CON,F-C,33,801,33,18,801,158,269,.587,0,0,,158,269,.587,100,139,.719,88,221,22,33,33,48,120,416
Nneka Ogwumike,LAS,F,33,1043,33,33,1043,244,367,.665,16,26,.615,228,341,.669,146,168,.869,77,299,101,42,39,70,113,650
Jenna O'Hea,SEA,F,22,252,22,2,252,23,66,.348,12,38,.316,11,28,.393,9,10,.900,8,28,19,8,3,15,17,67
Courtney Paris,DAL,C,34,827,34,32,827,119,217,.548,0,1,.000,119,216,.551,25,45,.556,94,271,38,14,29,27,111,263
Candace Parker,LAS,F-C,34,1046,34,34,1046,190,430,.442,42,110,.382,148,320,.463,99,140,.707,33,250,166,47,33,98,74,521
Cheyenne Parker-Tyus,CHI,F,25,315,25,7,315,42,83,.506,0,1,.000,42,82,.512,17,32,.531,35,81,6,12,5,19,42,101
Jia Perkins,MIN,G,34,705,34,5,705,83,227,.366,13,57,.228,70,170,.412,40,48,.833,21,90,45,31,7,23,47,219
Devereaux Peters,IND,F,30,440,30,0,440,73,133,.549,1,3,.333,72,130,.554,10,18,.556,20,91,22,12,18,18,60,157
Haley Peters,SAS,F-G,34,594,34,0,594,75,215,.349,18,72,.250,57,143,.399,28,37,.757,16,78,27,12,7,28,64,196
Sonja Petrovic,PHO,F,31,459,31,13,459,51,121,.421,11,32,.344,40,89,.449,45,47,.957,25,69,20,18,7,30,68,158
Erin Phillips,DAL,G,32,466,32,12,466,49,112,.438,23,60,.383,26,52,.500,29,32,.906,15,37,38,5,3,25,32,150
Plenette Pierson,DAL,F,27,718,27,27,718,116,300,.387,30,89,.337,86,211,.408,58,70,.829,36,123,53,22,10,48,96,320
Theresa Plaisance,DAL,F,27,320,27,1,320,43,108,.398,15,45,.333,28,63,.444,7,11,.636,22,67,8,7,11,19,61,108
Jeanette Pohlen-Mavunga,IND,G,12,49,12,0,49,6,11,.545,3,6,.500,3,5,.600,1,1,1.000,0,1,5,0,0,2,5,16
Cappie Pondexter,CHI,G,33,905,33,29,905,163,380,.429,17,47,.362,146,333,.438,82,93,.882,13,94,90,31,3,48,56,425
Aerial Powers,DAL,G,32,614,32,2,614,100,254,.394,32,87,.368,68,167,.407,101,121,.835,27,87,35,33,7,51,74,333
Epiphanny Prince,NYL,G,6,83,6,0,83,10,25,.400,4,11,.364,6,14,.429,7,7,1.000,1,9,4,2,0,2,8,31
LaToya Sanders,WAS,F-C,4,69,4,0,69,9,18,.500,0,0,,9,18,.500,11,13,.846,4,12,1,3,10,3,12,29
Allie Quigley,CHI,G,34,604,34,0,604,129,274,.471,30,82,.366,99,192,.516,34,38,.895,4,29,56,17,5,37,35,322
Sugar Rodgers,NYL,G,33,1008,33,33,1008,156,385,.405,86,208,.413,70,177,.395,80,95,.842,14,121,79,35,15,59,87,478
Tierra Ruffin-Pratt,WAS,G,32,781,32,31,781,73,198,.369,16,50,.320,57,148,.385,71,95,.747,36,144,84,32,8,49,79,233
Shoni Schimmel,NYL,G,17,77,17,0,77,11,20,.550,9,16,.563,2,4,.500,4,5,.800,0,8,10,3,1,7,4,35
Meighan Simmons,ATL,G,25,148,25,0,148,26,90,.289,16,56,.286,10,34,.294,10,12,.833,1,10,8,2,3,10,17,78
Odyssey Sims,DAL,G,34,1074,34,30,1074,153,433,.353,42,150,.280,111,283,.392,128,145,.883,20,86,131,37,7,86,78,476
